Tweet,Compound,Date,Negative,Neutral,Positive,Source,Text,User
114,0.6696,Wed Mar 14 19:30:01 +0000 2018,0.0,0.781,0.219,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Give these ladies some love! @Lauren_Alaina, @DBradbery, @carlypearce, and @RaeLynn are nominated for New Female Vo… https://t.co/IVhwURfJ3S",CBS
115,0.3612,Tue Mar 13 18:48:52 +0000 2018,0.0,0.857,0.143,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @ManWithAPlan: Hungry for more #ManWithAPlan bloopers and behind-the-scenes videos featuring cast like @matt_leblanc, @thelizasnyder, @k…",CBS
116,0.539,Tue Mar 13 14:15:10 +0000 2018,0.0,0.821,0.179,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Music stars @MileyCyrus, @edsheeran, @ladygaga, and more will honor the legendary @eltonofficial and his hit songs… https://t.co/UzxARCCLnI",CBS
117,0.2244,Mon Mar 12 18:13:28 +0000 2018,0.0,0.917,0.083,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @thegoodfight: The verdict is in. The new season of #TheGoodFight is ???! Stream it now on CBS All Access: https://t.co/FkYSNSXlRb https…,CBS
118,0.0,Mon Mar 12 01:20:43 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @MadamSecretary: In less than an hour, #MadamSecretary's Keith Carradine will be taking over the @MadamSecretary Twitter page! Tweet alo…",CBS
119,0.4926,Fri Mar 09 22:48:26 +0000 2018,0.0,0.883,0.117,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @DierksBentley: Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a…,CBS
120,0.7845,Mon Mar 19 21:02:26 +0000 2018,0.072,0.619,0.309,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @YandR_CBS: Forever evolving, Forever inspiring, Forever Young and Restless. ?? Get ready to celebrate 45 years of #YR starting in just…",CBS
121,0.0,Sun Mar 18 23:44:30 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",New start times in East/Central Time Zones: #60Minutes 7:37ET/6:37CT #Instinct series premiere 8:37ET/7:37CT… https://t.co/xT3YKqmu2M,CBS
122,0.6514,Sun Mar 18 18:05:43 +0000 2018,0.0,0.787,0.213,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Spend your Sunday streaming Second Round games LIVE with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/zbWfirD9Ju,CBS
123,0.1867,Sun Mar 18 17:09:53 +0000 2018,0.0,0.92,0.08,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @instinctcbs: TONIGHT, Dr. Dylan Reinhart rewrites the book on abnormal behavior. Don't miss the premiere of #Instinct at 8/7c! https://…",CBS
124,0.0,Sat Mar 17 19:00:02 +0000 2018,0.0,1.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","If any duo knows how to rock the stage, it's @FLAGALine. The Vocal Duo Of The Year nominee will perform live at the… https://t.co/FknabB8NQp",CBS
125,0.6166,Sat Mar 17 17:42:43 +0000 2018,0.0,0.839,0.161,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",How is your bracket looking after last night? Stream Second Round games LIVE today with a FREE trial of CBS All Acc… https://t.co/25JlIpgwog,CBS
126,0.7096,Sat Mar 17 14:00:03 +0000 2018,0.0,0.753,0.247,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Where better to spend #StPatricksDay than the place everybody knows your name? It’s just your luck that every singl… https://t.co/Fom5wmdENL,CBS
127,0.296,Fri Mar 16 22:53:21 +0000 2018,0.0,0.896,0.104,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Stars @JakeMcDorman and Nik Dodani will join the cast in the upcoming revival of Murphy Brown coming to CBS.… https://t.co/JCAx29lo0i,CBS
128,0.0,Fri Mar 16 18:15:53 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @thegoodfight: Go behind the scenes with costume designer @DanLawsonStyle in ""Behind The Style,"" a new weekly video series all about the…",CBS
129,0.6514,Fri Mar 16 16:28:40 +0000 2018,0.0,0.822,0.178,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",The games have just begun! Continue to stream First Round games LIVE today with a FREE trial of CBS All Access:… https://t.co/YTGsJ48zYP,CBS
130,0.7088,Thu Mar 15 17:54:06 +0000 2018,0.0,0.763,0.237,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @TheTalkCBS: You asked, we answered! The fun never ends when the ladies #KeepTalking and answer your fan questions ???? https://t.co/ie1…",CBS
131,-0.4939,Thu Mar 15 17:20:26 +0000 2018,0.157,0.766,0.077,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @instinctcbs: Dr. Dylan Reinhart is lured back into the field from his life of quiet academia when a certain serial killer makes things…,CBS
132,0.6514,Thu Mar 15 16:42:41 +0000 2018,0.0,0.806,0.194,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Stream First Round games LIVE today starting at 12PM ET with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/vZow3YD8cb,CBS
133,0.6115,Thu Mar 15 14:32:16 +0000 2018,0.0,0.734,0.266,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @CBSSports: It's the most wonderful time of the year. #MarchMadness https://t.co/e4c9qohqSR,CBS
134,0.6696,Wed Mar 14 19:30:01 +0000 2018,0.0,0.781,0.219,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Give these ladies some love! @Lauren_Alaina, @DBradbery, @carlypearce, and @RaeLynn are nominated for New Female Vo… https://t.co/IVhwURfJ3S",CBS
135,0.3612,Tue Mar 13 18:48:52 +0000 2018,0.0,0.857,0.143,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @ManWithAPlan: Hungry for more #ManWithAPlan bloopers and behind-the-scenes videos featuring cast like @matt_leblanc, @thelizasnyder, @k…",CBS
136,0.539,Tue Mar 13 14:15:10 +0000 2018,0.0,0.821,0.179,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Music stars @MileyCyrus, @edsheeran, @ladygaga, and more will honor the legendary @eltonofficial and his hit songs… https://t.co/UzxARCCLnI",CBS
137,0.2244,Mon Mar 12 18:13:28 +0000 2018,0.0,0.917,0.083,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @thegoodfight: The verdict is in. The new season of #TheGoodFight is ???! Stream it now on CBS All Access: https://t.co/FkYSNSXlRb https…,CBS
138,0.0,Mon Mar 12 01:20:43 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @MadamSecretary: In less than an hour, #MadamSecretary's Keith Carradine will be taking over the @MadamSecretary Twitter page! Tweet alo…",CBS
139,0.4926,Fri Mar 09 22:48:26 +0000 2018,0.0,0.883,0.117,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @DierksBentley: Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a…,CBS
140,0.1275,Fri Mar 09 22:24:20 +0000 2018,0.092,0.795,0.113,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @MomCBS: If you missed guest star @KChenoweth in the latest episode of #Mom, not to worry! Watch now: https://t.co/RlvXoGOZ0l https://t.…",CBS
141,0.4215,Fri Mar 09 21:10:21 +0000 2018,0.0,0.823,0.177,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Give a round of applause to @KelseaBallerini, @MirandaLambert, @Reba, @MarenMorris, and @CarrieUnderwood, the five… https://t.co/Ncp1BTXx6N",CBS
142,0.8658,Fri Mar 09 18:27:28 +0000 2018,0.0,0.553,0.447,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @thegoodfight: Smart, sexy, and sophisticated. See what's coming this season on #TheGoodFight. https://t.co/CuKhx2G50P https://t.co/ygTI…",CBS
143,0.0,Fri Mar 09 16:02:27 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BlueBloods_CBS: Even stand-up guys fall down sometimes. #BlueBloods is new tonight at 10/9c! https://t.co/UOlDm22wWW,CBS
144,0.8625,Thu Mar 08 18:00:49 +0000 2018,0.0,0.664,0.336,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Today and every day we celebrate the women in our lives who empower and inspire us. Share a story about an influent… https://t.co/9rVtqrElvT,CBS
